SCH_ID,STU_ID,Profmath2,mathach,byses,usecalc,usecompu,urban,gender
2111,211115,1,43.239,1.659999967,5,2,0,1
2111,211116,1,37.271,-1.059999943,5,2,0,0
2111,211118,1,36.652,0.090000004,5,4,0,1
2111,211119,1,49.706,-0.209999993,4,2,0,1
2111,211120,0,15.62,-0.860000014,4,2,0,0
2111,211121,1,59.754,0.479999989,5,1,0,0
2111,211123,1,39.63,0.159999996,5,2,0,1
2111,211124,1,50.394,-0.50999999,5,3,0,1
2111,211125,1,46.028,-1.169999957,5,3,0,0
2111,211126,1,40.931,0.01,5,5,0,1
2111,211127,1,60.573,-1.039999962,5,1,0,0
2111,211128,1,57.639,0.239999995,4,1,0,0
2111,211129,1,46.659,-0.310000002,5,1,0,1
2111,211131,1,42.756,-0.140000001,5,2,0,0
2112,211202,1,39.406,1.129999995,5,1,0,1
2112,211203,1,41.994,0.159999996,5,1,0,0
2112,211204,1,56.845,-0.379999995,5,2,0,0
2112,211205,1,47.54,0.610000014,5,1,0,1
2112,211206,1,59.902,0.159999996,5,2,0,0
2112,211207,1,34.909,-0.119999997,5,1,0,1
2112,211208,1,37.393,-0.74000001,5,1,0,0
2112,211209,1,54.577,0.200000003,5,1,0,0
2112,211211,1,43.005,1.169999957,5,1,0,1
2112,211213,1,54.106,0.980000019,5,4,0,0
2112,211214,1,32.087,0.569999993,5,1,0,1
2112,211215,0,25.353,-0.189999998,5,3,0,1
2112,211216,1,42.307,-0.280000001,2,1,0,1
2112,211218,1,31.88,0.090000004,5,1,0,0
2112,211219,0,25.387,0.050000001,5,4,0,1
2112,211220,1,52.385,-0.439999998,5,1,0,0
2112,211221,1,41.752,-0.600000024,2,2,0,0
2112,211222,1,58.322,0.219999999,5,1,0,1
2121,212101,1,56.887,-0.090000004,4,1,0,0
2121,212102,0,23.235,0.379999995,3,1,0,1
2121,212103,1,54.037,0.5,5,2,0,1
2121,212104,1,43.991,1.399999976,5,2,0,1
2121,212105,1,43.1,0.730000019,4,2,0,1
2121,212106,1,42.448,1.389999986,5,1,0,0
2121,212107,1,43.308,0.340000004,5,2,0,1
2121,212108,1,59.376,0.959999979,5,1,0,1
2121,212109,0,27.852,0.629999995,2,3,0,0
2121,212110,1,36.339,0.200000003,5,1,0,0
2121,212111,1,54.184,0.430000007,5,1,0,0
